method,seed,period,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,planned_purchase_kwh,emergency_kwh,spill_kwh,emergency_slot_frequency,emergency_day_frequency,emergency_event_count,oracle_cost_yuan,regret_vs_oracle,saving_vs_manual
SimplexWeekly,0,development_184,7429018.878433707,738508.6893309574,8167527.567764664,12109585.623306096,191907.19380276772,2261957.7183183385,0.190330615942029,0.9836956521739131,1887,6524805.094516614,0.2517657538350959,-0.022690449184771255
SimplexWeekly,0,holdout_61,2972215.2706495235,147220.1706209503,3119435.4412704734,4799027.445164979,40223.8201534909,415166.65751629276,0.18169398907103826,1.0,703,2727592.149467768,0.1436590481018818,-0.016745838836360383
StructuralStateSpace,0,full_334,13664076.792055182,1196365.2880653269,14860442.080120508,22410278.433697067,317257.71805482684,3432529.640635829,0.19384148369926812,1.0,4133,12245046.91527763,0.2135880068846252,-0.016715492328394088
StructuralStateSpace,0,cost_common_245,10318525.82198462,811947.984298024,11130473.806282643,16800151.012882445,216183.10638796404,2540461.612245045,0.18982426303854874,1.0,3012,9252397.243984384,0.2029826987291672,-0.006884250350157828
StructuralStateSpace,0,development_184,7421188.08541863,700568.9440199139,8121757.029438545,12107145.094230862,185800.81450713714,2239061.2359243985,0.18897192028985507,1.0,2161,6524805.094516614,0.2447509024084098,-0.016959327739290986
StructuralStateSpace,0,holdout_61,2897337.7365659894,111379.04027811017,3008716.7768440996,4693005.918651585,30382.29188082691,301400.37632064667,0.1923952641165756,1.0,851,2727592.149467768,0.10306695868412263,0.019341697981258954
WeeklyTrend,0,full_334,13643251.1908538,1112400.4663125966,14755651.657166395,22379976.108098246,293728.9904335864,3397388.2656289227,0.1861485362608117,0.9940119760479041,3827,12245046.91527763,0.2050302264466124,-0.00954598512997662
WeeklyTrend,0,cost_common_245,10340506.42303351,828036.0598715579,11168542.482905068,16825814.45665226,218329.40053482214,2581810.9121446228,0.1839002267573696,0.9918367346938776,2705,9252397.243984384,0.20709716502569098,-0.010328016679418406
WeeklyTrend,0,development_184,7393329.191595428,682220.9566330527,8075550.148228481,12060533.959244374,178798.09054426802,2200554.299857186,0.18191425120772947,0.9891304347826086,1942,6524805.094516614,0.23766917651150976,-0.011173569967667163
WeeklyTrend,0,holdout_61,2947177.2314380826,145815.10323850517,3092992.3346765875,4765280.497407888,39531.30999055408,381256.6122874366,0.18989071038251365,1.0,763,2727592.149467768,0.13396437780484138,-0.008126997670572456
XGBoost,2026,full_334,13503080.736025859,1021783.1284375149,14524863.864463374,22166020.281482078,272944.12516043894,3171246.35847441,0.1939246506986028,0.9940119760479041,3964,12245046.91527763,0.18618278598355653,0.006243957256416688
XGBoost,2026,cost_common_245,10209689.528101567,748396.1243855036,10958085.652487071,16623905.546702405,200492.07226043235,2369891.7593880333,0.19260204081632654,0.9918367346938776,2815,9252397.243984384,0.1843509701890147,0.008710316424324516
XGBoost,2026,development_184,7278613.045579845,622417.2766632654,7901030.32224311,11885508.590127762,165481.73214051238,2019024.4887886858,0.19557669082125603,0.9891304347826086,2061,6524805.094516614,0.21092204407501192,0.010678790829135809
XGBoost,2026,holdout_61,2931076.482521724,125978.84772223826,3057055.3302439624,4738396.956574644,35010.34011991998,350867.27059934766,0.18362932604735882,1.0,754,2727592.149467768,0.12078901929692165,0.003586275581921594
